CustomerID,Count,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Internet_Service,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Contract,Paperless_Billing,Payment_Method,Monthly_Charges,Total_Charges,Churn_Label,Churn_Value,Churn_Score,CLTV,Churn_Reason
0002-ORFBO,1,United States,California,Frazier Park,93225,"34.827662, -118.999073",34.82766342163086,-118.99906921386719,Female,No,Yes,No,9,Yes,No,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,65.6,593.3,No,0,65,2205,
0003-MKNFE,1,United States,California,Glendale,91206,"34.162515, -118.203869",34.162513732910156,-118.20387268066406,Male,No,No,No,9,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,59.9,542.4,No,0,66,5414,
0004-TLHLJ,1,United States,California,Costa Mesa,92627,"33.645672, -117.922613",33.64567184448242,-117.92261505126953,Male,No,No,No,4,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,73.9,280.85,Yes,1,71,4479,Price too high
0011-IGKFF,1,United States,California,Martinez,94553,"38.014457, -122.115432",38.01445770263672,-122.11543273925781,Male,Yes,Yes,No,13,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.0,1237.85,Yes,1,99,3714,Product dissatisfaction
0013-EXCHZ,1,United States,California,Camarillo,93010,"34.227846, -119.079903",34.22784423828125,-119.07990264892578,Female,Yes,Yes,No,3,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,83.9,267.4,Yes,1,68,3464,Network reliability
0013-MHZWF,1,United States,California,Midpines,95345,"37.581496, -119.972762",37.58149719238281,-119.97276306152344,Female,No,No,Yes,9,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),69.4,571.45,No,0,55,5108,
0013-SMEOE,1,United States,California,Lompoc,93437,"34.757477, -120.550507",34.757476806640625,-120.55050659179688,Female,Yes,Yes,No,71,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),109.7,7904.25,No,0,26,5011,
0014-BMAQU,1,United States,California,Napa,94558,"38.489789, -122.27011",38.48978805541992,-122.27011108398438,Male,No,Yes,No,63,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),84.65,5377.8,No,0,49,4604,
0015-UOCOJ,1,United States,California,Simi Valley,93063,"34.296813, -118.685703",34.29681396484375,-118.68569946289062,Female,Yes,No,No,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,48.2,340.35,No,0,34,5525,
0016-QLJIS,1,United States,California,Sheridan,95681,"38.984756, -121.345074",38.98475646972656,-121.34507751464844,Female,No,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,90.45,5957.9,No,0,25,5509,
